obs,deploy_id,ptt,instrument,type,location_class,error_radius,semi_major_axis,semi_minor_axis,ellipse_orientation,offset,offset_orientation,gpe_msd,gpe_u,count,qartod_time_flag,qartod_speed_flag,qartod_location_flag,qartod_rollup_flag,crs,trajectory,animal_age,animal_life_stage,animal_sex,animal_weight,animal_length,animal_length_2,animal,instrument_tag,instrument_location,taxon_name,taxon_lsid,comment,time,z,lat,lon
0,09_13-45866,45866,SPOT,User,nan,,,,,,,,,,1,2,1,1,-2147483647,5f0668a86321be13bc7ef628,,juvenile,male,,213,,09_13,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,9/23/2009 0:00,0,34.03,-118.56
1,09_13-45866,45866,SPOT,Argos,A,,,,,,,,,,1,4,1,4,-2147483647,5f0668a86321be13bc7ef628,,juvenile,male,,213,,09_13,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,9/25/2009 6:42,0,23.59,-166.18
2,09_13-45866,45866,SPOT,Argos,1,,,,,,,,,,1,4,1,4,-2147483647,5f0668a86321be13bc7ef628,,juvenile,male,,213,,09_13,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,9/25/2009 11:09,0,34.024,-118.556
3,09_13-45866,45866,SPOT,Argos,0,,,,,,,,,,1,4,1,4,-2147483647,5f0668a86321be13bc7ef628,,juvenile,male,,213,,09_13,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,9/25/2009 11:11,0,34.035,-118.549
4,09_13-45866,45866,SPOT,Argos,1,,,,,,,,,,1,1,1,1,-2147483647,5f0668a86321be13bc7ef628,,juvenile,male,,213,,09_13,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,9/27/2009 17:58,0,34.033,-118.547
5,09_13-45866,45866,SPOT,Argos,B,,,,,,,,,,1,1,1,1,-2147483647,5f0668a86321be13bc7ef628,,juvenile,male,,213,,09_13,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,9/30/2009 5:01,0,33.517,-119.75
6,09_13-45866,45866,SPOT,Argos,2,,,,,,,,,,1,1,1,1,-2147483647,5f0668a86321be13bc7ef628,,juvenile,male,,213,,09_13,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,10/8/2009 20:24,0,34.038,-118.581
7,09_13-45866,45866,SPOT,Argos,0,,,,,,,,,,1,1,1,1,-2147483647,5f0668a86321be13bc7ef628,,juvenile,male,,213,,09_13,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,10/15/2009 11:05,0,33.995,-118.678
8,09_13-45866,45866,SPOT,Argos,0,,,,,,,,,,1,1,1,1,-2147483647,5f0668a86321be13bc7ef628,,juvenile,male,,213,,09_13,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,10/17/2009 6:11,0,34.037,-118.545
9,09_13-45866,45866,SPOT,Argos,2,,,,,,,,,,1,1,1,1,-2147483647,5f0668a86321be13bc7ef628,,juvenile,male,,213,,09_13,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,10/17/2009 9:00,0,34.026,-118.534
