id,license,rightsHolder,accessRights,institutionID,datasetID,institutionCode,collectionCode,datasetName,basisOfRecord,dataGeneralizations,occurrenceID,catalogNumber,occurrenceRemarks,recordedBy,individualCount,sex,lifeStage,occurrenceStatus,organismID,organismName,organismScope,eventID,samplingProtocol,startDayOfYear,endDayOfYear,locality,scientificNameID,scientificName,kingdom,vernacularName
otn:SAF.SSST:SSST-34076-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-34076-release,SSST-34076-release,,"KOCK, ALISON| BARNETT, ADAM| ET AL.",1,,,present,SSST-34076,SSST-34076,individual,otn:SAF.SSST:SSST-34076-release,tracking tags,64,64,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-34077-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-34077-release,SSST-34077-release,,"KOCK, ALISON| BARNETT, ADAM| ET AL.",1,,,present,SSST-34077,SSST-34077,individual,otn:SAF.SSST:SSST-34077-release,tracking tags,64,64,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-34078-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-34078-release,SSST-34078-release,,"KOCK, ALISON| BARNETT, ADAM| ET AL.",1,,,present,SSST-34078,SSST-34078,individual,otn:SAF.SSST:SSST-34078-release,tracking tags,64,64,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-34079-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-34079-release,SSST-34079-release,,"KOCK, ALISON| BARNETT, ADAM| ET AL.",1,,,present,SSST-34079,SSST-34079,individual,otn:SAF.SSST:SSST-34079-release,tracking tags,64,64,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-34083-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-34083-release,SSST-34083-release,,"KOCK, ALISON| BARNETT, ADAM| ET AL.",1,,,present,SSST-34083,SSST-34083,individual,otn:SAF.SSST:SSST-34083-release,tracking tags,64,64,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-34084-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-34084-release,SSST-34084-release,,"KOCK, ALISON| BARNETT, ADAM| ET AL.",1,,,present,SSST-34084,SSST-34084,individual,otn:SAF.SSST:SSST-34084-release,tracking tags,65,65,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-34085-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-34085-release,SSST-34085-release,,"KOCK, ALISON| BARNETT, ADAM| ET AL.",1,,,present,SSST-34085,SSST-34085,individual,otn:SAF.SSST:SSST-34085-release,tracking tags,66,66,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-34086-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-34086-release,SSST-34086-release,,"KOCK, ALISON| BARNETT, ADAM| ET AL.",1,,,present,SSST-34086,SSST-34086,individual,otn:SAF.SSST:SSST-34086-release,tracking tags,65,65,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-34087-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-34087-release,SSST-34087-release,,"KOCK, ALISON| BARNETT, ADAM| ET AL.",1,,,present,SSST-34087,SSST-34087,individual,otn:SAF.SSST:SSST-34087-release,tracking tags,73,73,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
otn:SAF.SSST:SSST-34096-release,https://creativecommons.org/licenses/by/4.0/,"Ocean Tracking Network, Dalhousie University, Halifax, Nova Scotia otndc@dal.ca",https://members.oceantrack.org/data/policies/otn-data-policy,Shark Spotters,otnsharkspotterssharkspot,Shark Spotters,SSST,Shark Spotters shark tracking,HumanObservation,,otn:SAF.SSST:SSST-34096-release,SSST-34096-release,,"KOCK, ALISON| BARNETT, ADAM| ET AL.",1,,,present,SSST-34096,SSST-34096,individual,otn:SAF.SSST:SSST-34096-release,tracking tags,66,66,"Millers Point, False Bay",urn:lsid:marinespecies.org:taxname:217628,Notorynchus cepedianus,Animalia,sevengill shark
